Stim_Number,Delay
294,0.8035
295,0.8855000000000001
296,1.1772
297,1.1921000000000002
298,1.4341000000000002
299,1.2303
300,1.1812
301,0.7536
302,1.4282000000000001
303,1.0772000000000002
304,1.0432000000000001
305,0.5619000000000001
306,1.3445
307,1.256
308,1.0304
309,1.0053
310,0.8607
311,1.1603
312,0.6954
313,1.1087
314,1.0396
315,1.4417
316,0.8908
317,0.8339000000000001
318,1.2832000000000001
319,1.0359
320,0.8104
321,1.0884
322,1.4006
323,0.5855
324,1.1679000000000002
325,0.6703
326,1.3813
327,0.8308000000000001
328,1.2079
329,0.6032000000000001
330,0.6825
331,0.927
332,0.9384
333,0.8259000000000001
334,1.0843
335,1.2767000000000002
336,0.5740000000000001
337,1.2334
338,1.4142000000000001
339,1.2061
340,0.7048
341,0.8854000000000001
342,0.7476
343,0.9672000000000001
344,0.8541000000000001
345,1.1576
346,0.6667000000000001
347,0.6749
348,0.9182
349,1.3960000000000001
350,1.3729
351,1.0994000000000002
352,0.8055
353,0.7200000000000001
354,1.092
355,1.3307
356,1.3246
357,0.9122
358,0.8570000000000001
359,1.4704000000000002
360,1.2527000000000001
361,1.1521000000000001
362,0.861
363,1.2153
364,0.6471
365,0.6245
366,1.4420000000000002
367,1.2145000000000001
368,0.5939
369,0.632
370,1.022
371,1.0792000000000002
372,0.618
373,1.3826
374,1.205
375,0.5726
376,1.2162
377,1.1418000000000001
378,0.9229
379,0.9354
380,1.1673
381,0.8787
382,1.3272000000000002
383,1.3451
384,0.6224000000000001
385,0.9798
386,1.1471
387,0.9682000000000001
388,1.2265000000000001
389,0.8629
390,0.7564000000000001
391,0.8414
392,1.3835000000000002
393,1.3769
394,0.6899000000000001
395,0.8481000000000001
396,1.1717
397,1.3188
398,1.3836000000000002
399,1.2951000000000001
400,0.9238000000000001
401,0.6094
402,1.1667
403,0.9537
404,0.8953000000000001
405,1.2069
406,0.9856
407,0.644
408,0.9961000000000001
409,0.7931
410,1.3228
411,1.0238
412,0.7637
413,0.8367
414,1.437
415,0.518
416,1.286
417,1.112
418,0.6473
419,0.866
420,0.6945
421,1.0607
422,0.8164
423,1.2119
424,0.9664
425,1.31
426,0.6263000000000001
427,0.9640000000000001
428,1.2053
429,1.2233
430,0.6916
431,1.0786
432,0.7655000000000001
433,0.8071
434,0.54
435,0.6738000000000001
436,0.8038000000000001
437,1.2257
438,0.7677
439,1.3734000000000002
440,1.401
441,0.9761000000000001
442,0.533
443,1.3923
444,0.6579
445,0.6719
446,0.5454
447,1.014
448,1.1124
449,1.2638
450,0.6105
451,0.9107000000000001
452,1.0173
453,1.0406
454,1.2117
455,1.0757
456,0.9975
457,1.4541000000000002
458,0.8819
459,0.7506
460,0.9820000000000001
461,1.2507000000000001
462,0.5891000000000001
463,1.4264000000000001
464,1.4647000000000001
465,0.8811
466,1.366
467,0.5543
468,1.1227
469,0.7966000000000001
470,0.661
471,0.5596
472,0.8698
473,1.2650000000000001
474,0.6019
475,0.8939
476,0.6462
477,1.254
478,1.2851000000000001
479,0.7811
480,0.7736000000000001
481,0.7979
482,0.7349
483,1.3228
484,1.2376
485,0.7088
486,0.8673000000000001
487,1.0024
488,1.1933
489,0.9397000000000001
490,0.9199
491,0.8043
492,1.1794
493,1.3271000000000002
494,0.9650000000000001
495,1.2586000000000002
496,1.2732
497,0.8055
498,1.3471
499,1.2858
500,0.639
